time,seconds_elapsed,z,y,x
1789926600069874400,0.10387451171875,-0.17989304129183292,0.19290961312279103,-0.011946458381414412
1789926600079854600,0.1138544921875,-0.14152268636524676,0.17347590425852685,-0.06807634188234805
1789926600089835500,0.12383544921875,-0.11512392426133156,0.17827594321770593,0.01246376025378704
1789926600099815700,0.133815673828125,0.13208324236869812,0.10246385598415508,0.04448065450042486
1789926600109796600,0.143796630859375,0.30691198600828645,0.12994765511211007,0.023625497998297215
1789926600119776500,0.153776611328125,0.3614087153494358,0.17632462648684158,0.10552402900606393
1789926600129756400,0.16375634765625,0.37241292444467544,0.12593852906860412,0.059601359003782266
1789926600139737600,0.173737548828125,0.34061376460194587,0.1317450964555144,0.006446984182298183
1789926600149717500,0.183717529296875,0.27291619290411473,0.10901106740422546,0.015601766018569468
1789926600159697400,0.193697509765625,0.1817752017766237,0.10154692380232735,0.020505320151150225
1789926600169678300,0.20367822265625,0.11587737297713756,0.10640979886464774,0.016688099950551986
1789926600179658800,0.21365869140625,-0.0010164835661649703,0.06465045908689498,0.0007619242832064628
1789926600189639700,0.2236396484375,-0.11233633936941623,0.10518350847270339,-0.0024660978525876997
1789926600199619600,0.23361962890625,-0.24143793557882307,0.11526155176688917,0.05654109465032816
1789926600209599500,0.243599609375,-0.45730070039629933,0.11844075719173996,0.06780161659419537
1789926600219580700,0.25358056640625,-0.5613467658042908,0.14302229553954676,0.020212474684417246
1789926600229560600,0.263560546875,-0.6440706417202949,0.14159245453267358,-0.01830488749742508
1789926600239541500,0.27354150390625,-0.6816553992271422,0.1895153858409263,0.020057868644595144
1789926600249521400,0.283521484375,-0.6963514485776424,0.2039579901533201,0.06841244196891784
1789926600259501600,0.29350146484375,-0.7171399695843458,0.19140235036499798,0.07065642150342465
1789926600269482500,0.303482421875,-0.6809405289560556,0.2062250400361605,0.13063333582133055
1789926600279462700,0.313462646484375,-0.7241448799103498,0.21607891005249694,0.1640647730410099
1789926600289442600,0.323442626953125,-0.8912053276360035,0.2528913314799778,0.17572306213080882
1789926600299423500,0.333423583984375,-0.9925935720115899,0.29476357531398534,0.20277824231684208
1789926600309403400,0.3434033203125,-1.0077139842540026,0.2556811631279066,0.12097644968181848
1789926600319384600,0.353384521484375,-0.7403454886049031,0.15975352224577216,0.1050505662754178
1789926600329364500,0.363364501953125,-0.17986615328490732,0.023578644915577023,0.09371142613738774
1789926600339344400,0.373344482421875,0.2825134578108787,-0.11166784725701435,0.07539601724594831
1789926600349325300,0.3833251953125,0.41965164548158645,-0.18992307159267366,0.01534369960427284
1789926600359305700,0.3933056640625,0.33289749113619327,-0.21466380082387476,-0.01591623879522085
1789926600369286700,0.40328662109375,0.4080822037190199,-0.23418907869542016,-0.000983165818452835
1789926600379266600,0.4132666015625,0.594300940901041,-0.23499053127141667,-0.010484861396253108
1789926600389246500,0.42324658203125,0.7069628589630127,-0.22587441921140997,-0.03291004369407892
1789926600399227600,0.4332275390625,0.794229639005661,-0.2242428724868223,-0.02571311792731285
1789926600409207600,0.44320751953125,0.8433025897324085,-0.2333814703732729,-0.042831133727729315
1789926600419187500,0.4531875,0.7657944026380777,-0.24435933945085853,-0.13388503109365701
1789926600429168400,0.46316845703125,0.6789993317604065,-0.2348040505222976,-0.19860329471975563
1789926600439148500,0.4731484375,0.6502332560032605,-0.2452002472544089,-0.20968173809498547
1789926600449129500,0.48312939453125,0.7161655715942382,-0.21901706412993371,-0.21711919461935758
1789926600459109600,0.493109619140625,0.8220616487830876,-0.19774810266252607,-0.1677966530457139
1789926600469089500,0.503089599609375,0.8526783208429813,-0.17527204869398846,-0.0952624549716711
1789926600479070500,0.513070556640625,0.8180091585218906,-0.09768615672094746,-0.06538695666790008
1789926600489050600,0.523050537109375,0.802819772696495,-0.11337546402565203,-0.08307955748587846
1789926600499031600,0.533031494140625,0.7359463768631219,-0.11539859475055708,-0.13574907139986753
1789926600509011500,0.543011474609375,0.656094256991148,-0.10771883563660084,-0.16449994958788156
1789926600518991400,0.552991455078125,0.5899661265671253,-0.09659250713218934,-0.15318068319410086
1789926600528972500,0.56297265625,0.59217678835392,-0.07866957729021087,-0.14221300671696663
1789926600538952700,0.57295263671875,0.5200602311700582,-0.04807743688337505,-0.13583470385670662
1789926600548932600,0.5829326171875,0.4155564851224422,-0.052232291540503496,-0.1630050348550081
1789926600558913500,0.59291357421875,0.2945879264861345,-0.053459376516891643,-0.1596633232116699
1789926600568893400,0.6028935546875,0.2156084977954626,-0.046168689785758034,-0.15502631106078624
1789926600578874600,0.61287451171875,0.17367723551690578,-0.056081806575506925,-0.13321955292224882
1789926600588854500,0.6228544921875,0.1861328124642372,-0.06860389115409925,-0.09954437007457018
1789926600598834400,0.63283447265625,0.20525427704155444,-0.07516973420940339,-0.0830102916419506
1789926600608815000,0.642815185546875,0.21210721167623994,-0.11879466692963614,-0.0562058713465929
1789926600618795300,0.652795166015625,0.18685235891044139,-0.1329430466689635,-0.07582388726919889
1789926600628776200,0.662776123046875,0.1725748272329569,-0.16409019974321126,-0.08365794189572334
1789926600638756000,0.672756103515625,0.17257132010161877,-0.1956860920988023,-0.11402706893533468
1789926600648736000,0.682736083984375,0.16342705965936183,-0.2148706485075876,-0.12971008349657057
1789926600658717200,0.69271728515625,0.10616086560487746,-0.23002182121444492,-0.1530067879319191
1789926600668697000,0.702697021484375,0.06574994476139545,-0.21759075765386224,-0.13714490967243909
1789926600678677000,0.712677001953125,0.057714522343873975,-0.22575318571822717,-0.10670300965756177
1789926600688658000,0.722657958984375,0.03760229316353798,-0.27331560401786115,-0.11041706174463033
1789926600698638000,0.73263818359375,0.04074935901761055,-0.28000711927944794,-0.13289835814386605
1789926600708619000,0.742618896484375,0.03436988711357117,-0.28095154225639996,-0.12382657841593027
1789926600718599200,0.75259912109375,0.06375029537677765,-0.28021840567626055,-0.09266220934540033
1789926600728579000,0.7625791015625,0.13972411251068115,-0.27320726653886956,-0.07857230919450521
1789926600738560000,0.77256005859375,0.16206395461261272,-0.29152525097988546,-0.10780687924623489
1789926600748540200,0.7825400390625,0.1666869382381439,-0.31368820214495063,-0.1745537260904908
1789926600758520000,0.79252001953125,0.1545925958186388,-0.30173659266438335,-0.18371435314565895
1789926600768501000,0.8025009765625,0.14256956506967544,-0.2789020075817592,-0.14717179816812276
1789926600778481000,0.81248095703125,0.05250818587243557,-0.2515246462366544,-0.14927578471004962
1789926600788462000,0.822462158203125,-0.03798866213262081,-0.20670328853977843,-0.1376890995517373
1789926600798442200,0.832442138671875,-0.09342588719427584,-0.1651542853107676,-0.0924561653792858
1789926600808422100,0.842422119140625,-0.06572481032013892,-0.12226661735652014,-0.06452069522738456
1789926600818403000,0.852403076171875,0.05154723188579082,-0.12316312780482694,-0.06438976232409477
1789926600828383000,0.862383056640625,0.1952788264721632,-0.10047166838678531,0.009098667734861373
1789926600838364200,0.8723642578125,0.4237970747232437,-0.12789743545087984,0.08732669353634119
1789926600848344000,0.882343994140625,0.5914309384226799,-0.19257007897011935,0.047077100734412666
1789926600858324000,0.892323974609375,0.6403016445755958,-0.19681993670063092,-0.011206161408126353
1789926600868305000,0.902304931640625,0.5843734211266041,-0.18558831205768508,-0.07597294035106897
1789926600878285000,0.91228515625,0.3966097925901413,-0.1624414096228778,-0.12565671645253895
1789926600888265200,0.92226513671875,0.12916355552971362,-0.07848771791728212,-0.13100041556805372
1789926600898246100,0.93224609375,0.044697219860553736,-0.024433179385680705,-0.16344050366282462
1789926600908226000,0.94222607421875,0.09035247109830379,-0.019749412333488,-0.14240239180922507
1789926600918207200,0.952207275390625,0.18251871362030506,-0.019070887450838927,-0.10767799216955899
1789926600928187100,0.962187255859375,0.33246552945971486,-0.017696909383626187,-0.02437953123599291
1789926600938167000,0.9721669921875,0.33246552945971486,-0.01980791703809518,0.03218582107275724
1789926600948148000,0.98214794921875,0.2504360655486584,-0.007403504022420383,-0.011064122588932513
1789926600958127900,0.9921279296875,0.11347148087918758,-0.030416400247439742,-0.07799830869883298
1789926600968108300,1.0021083984375,-0.0011111761122941971,-0.045551589933875945,-0.08682868088632821
1789926600978089200,1.012089111328125,-0.1440706172823906,0.0040794969991315155,-0.15245967544317243
1789926600988069000,1.022069091796875,-0.1699152526348829,0.04775976750263944,-0.1291229312583804
1789926600998050000,1.032050048828125,-0.015291677156090736,0.03713909609857947,-0.010597381860017775
1789926601008030200,1.0420302734375,0.1127910973995924,0.017736421693395822,0.04010404685139656
1789926601018010000,1.052010009765625,0.13901859458982943,-0.01602437534481287,-0.011886252626776695
1789926601027991000,1.061990966796875,0.11995265959203243,0.0030814350056461988,-0.05722498526126146
