time,seconds_elapsed,z,y,x
1789665777365579000,0.0475791015625,-1.0792390052855014,0.5996539923667907,0.2708083339046687
1789665777375531300,0.05753125,-1.4716507616639136,0.8185235377848148,0.4101303684204817
1789665777385484300,0.067484375,-1.803938011947274,0.9780316704347729,0.4271873016834259
1789665777395436300,0.077436279296875,-2.028562759891152,1.046624729667604,0.4231070100998506
1789665777405389300,0.087389404296875,-2.258777875187993,0.994609588009119,0.36987409014943984
1789665777415341000,0.097341064453125,-2.437325931611657,0.8825792458489536,0.34871264417711645
1789665777425294000,0.107294189453125,-2.4674352386713028,0.7818649552121758,0.23234156939890235
1789665777435246300,0.117246337890625,-2.3123457992464305,0.7299079734817147,0.02582242352068424
1789665777445199400,0.127199462890625,-2.0928028846114874,0.6980947851136327,-0.21822598681747912
1789665777455151400,0.1371513671875,-1.8307319108486175,0.6938029331386089,-0.2502455114126205
1789665777465104100,0.147104248046875,-1.4574340202629565,0.758525872939825,-0.09647394965328275
1789665777475056000,0.15705615234375,-0.8925491434603929,0.8183663013964891,-0.009177687787823378
1789665777485009200,0.167009033203125,-0.38367724578082557,0.9063450291007756,-0.016525420202128587
1789665777494961200,0.176961181640625,-0.03755845402181148,0.898377118961513,-0.04571929291728884
1789665777504914200,0.1869140625,0.03054769847691059,0.7905082803949713,-0.026444610539637505
1789665777514866200,0.1968662109375,0.004261164575815201,0.6970008523970842,-0.07956055304687469
1789665777524819200,0.206819091796875,-0.03148585610985756,0.7062444815605878,-0.25000125432796777
1789665777534771200,0.216771240234375,-0.005221534040570259,0.691234543955326,-0.3822290197338909
1789665777544724200,0.22672412109375,0.13838321929574013,0.6383005338862539,-0.3051909343693405
1789665777554676200,0.23667626953125,0.5544195968896151,0.6325532224059105,-0.17613376182354987
1789665777564629200,0.246629150390625,1.0993600022941827,0.6442492131575942,-0.09563665857892482
1789665777574581200,0.256581298828125,1.6537562183082102,0.6112023913413286,-0.08783683501556515
1789665777584534300,0.2665341796875,2.13332428009212,0.46219519443958995,-0.13247819650303572
1789665777594486300,0.276486328125,2.4229250658154484,0.22249065852463243,-0.22350816500410436
1789665777604439300,0.286439208984375,2.510467740190029,-0.05640577783286571,-0.27084406280517576
1789665777614391000,0.29639111328125,2.4124603704243897,-0.22269524118602274,-0.23319577507544306
1789665777624344000,0.306343994140625,2.19729377117753,-0.2265793891429901,-0.15393270713780074
1789665777634296000,0.316296142578125,1.9472586876451967,-0.08865238918215036,-0.06542389114480465
1789665777644249000,0.3262490234375,1.7218045031398534,0.19374124164134263,-0.03735306764282286
1789665777654201300,0.336201416015625,1.6717349425911903,0.44158495260924097,-0.0001536744580604136
1789665777664154400,0.346154296875,1.6457307327628135,0.6395213078528642,0.01773810219382867
1789665777674106000,0.356106201171875,1.585115228280425,0.6383171927601099,0.08148777651609852
1789665777684059100,0.36605908203125,1.5707167005717753,0.3487792431399226,0.19296095971753818
